,index,CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
1460,54523,JE302111,07/14/2021 10:00:00 PM,024XX W POTOMAC AVE,0890,THEFT,FROM BUILDING,RESIDENCE - PORCH / HALLWAY,N,N,1423,26,06,,,,,
1461,54530,JE303487,07/14/2021 08:00:00 PM,007XX N RUSH ST,0810,THEFT,OVER $500,STREET,N,N,1833,42,06,,,,,
1462,54641,JE228455,04/13/2021 11:00:00 AM,029XX N Commonwealth Ave,0890,THEFT,FROM BUILDING,APARTMENT,N,N,1934,44,06,,,,,
1463,54703,JE287292,06/27/2021 03:00:00 AM,066XX S ST LAWRENCE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,321,20,14,,,,,
1464,54763,JF124722,12/27/2021 12:00:00 PM,096XX S AVALON AVE,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,N,N,511,8,11,,,,,
1465,54854,JE205789,04/21/2021 07:30:00 AM,032XX N CLARK ST,0890,THEFT,FROM BUILDING,RESIDENCE,N,N,1924,44,06,,,,,
1466,54918,JF158755,02/28/2022 01:40:00 PM,074XX N SHERIDAN RD,0890,THEFT,FROM BUILDING,MEDICAL / DENTAL OFFICE,N,N,2422,49,06,,,,,
1467,54940,JF165020,11/01/2021 12:01:00 AM,052XX W ADAMS ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,1522,29,11,,,,,
1468,54969,JE176394,03/21/2021 10:30:00 PM,056XX S DORCHESTER AVE,0810,THEFT,OVER $500,STREET,N,N,235,5,06,,,,,
1469,55034,JF164397,05/23/2021 02:00:00 AM,007XX W 81ST ST,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,N,Y,622,21,02,,,,,
1470,55055,JF140898,02/10/2022 06:55:00 PM,013XX N MOORMAN ST,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1424,1,06,,,,,
1471,55200,JE471631,12/09/2021 03:30:00 PM,006XX E 131ST ST,0560,ASSAULT,SIMPLE,CHA PARKING LOT / GROUNDS,N,N,533,9,08A,,,,,
1472,55202,JF166416,10/18/2021 12:00:00 PM,016XX S BLUE ISLAND AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,N,N,1233,25,11,,,,,
1473,55344,JE210349,04/21/2021 03:30:00 PM,088XX S WOOD ST,0820,THEFT,$500 AND UNDER,RESIDENCE,N,N,2221,21,06,,,,,
1474,55475,JE206944,04/21/2021 07:33:00 PM,031XX W FULLERTON AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,N,N,1414,32,11,,,,,
1475,55791,JE348678,08/24/2021 07:40:00 AM,036XX N WOLCOTT AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,APARTMENT,N,N,1922,47,14,,,,,
1476,55820,JE206983,04/21/2021 04:40:00 PM,021XX N SAWYER AVE,0890,THEFT,FROM BUILDING,APARTMENT,N,N,1413,26,06,,,,,
1477,55821,JE181052,03/20/2021 02:15:00 PM,033XX W LAWRENCE AVE,0810,THEFT,OVER $500,STREET,N,N,1713,33,06,,,,,
1478,55908,JF161567,03/01/2022 08:00:00 PM,042XX N DRAKE AVE,0810,THEFT,OVER $500,STREET,N,N,1723,35,06,,,,,
1479,55923,JF161568,03/01/2022 09:25:00 PM,008XX S WABASH AVE,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,123,4,06,,,,,
1480,55943,JE294842,07/02/2021 02:00:00 AM,001XX W CONGRESS PKWY,0560,ASSAULT,SIMPLE,CTA PLATFORM,N,N,122,4,08A,,,,,
1481,55956,JF166775,12/28/2021 09:00:00 AM,085XX S SOUTH CHICAGO AVE,0820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,412,8,06,,,,,
1482,55993,JF163469,03/01/2022 05:06:00 PM,016XX W DIVISION ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1424,1,06,,,,,
1483,56184,JF166038,10/01/2021 12:00:00 AM,080XX S MORGAN ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,N,Y,621,21,08B,,,,,
1484,56210,JE175392,03/21/2021 07:35:00 AM,020XX N WINCHESTER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1432,32,14,,,,,
1485,56220,JE176701,03/21/2021 01:00:00 AM,030XX N TROY ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,N,N,1411,33,11,,,,,
1486,56365,JE348523,08/24/2021 01:50:00 AM,005XX N LAKE SHORE DR,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - YARD (FRONT / BACK),N,N,1834,42,14,,,,,
1487,56808,JE207584,04/22/2021 05:00:00 PM,054XX S MASSASOIT AVE,0810,THEFT,OVER $500,RESIDENCE,N,N,811,23,06,,,,,
1488,56868,JE207064,04/22/2021 08:30:00 AM,009XX W BELMONT AVE,0810,THEFT,OVER $500,HOTEL / MOTEL,N,N,1933,44,06,,,,,
1489,56934,JE176115,03/21/2021 09:00:00 AM,018XX S MAY ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,GROCERY FOOD STORE,N,N,1235,25,11,,,,,
1490,56999,JF124973,12/30/2021 12:00:00 AM,051XX W DRUMMOND PL,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,2521,31,11,,,,,
1491,57335,JF124802,11/15/2021 11:00:00 PM,042XX S OAKENWALD AVE,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,N,N,214,4,02,,,,,
1492,57363,JE205952,04/19/2021 12:00:00 PM,058XX N MAGNOLIA AVE,0890,THEFT,FROM BUILDING,RESIDENCE - GARAGE,N,N,2013,48,06,,,,,
1493,57772,JE293098,07/02/2021 12:00:00 PM,054XX N KENMORE AVE,0890,THEFT,FROM BUILDING,APARTMENT,N,N,2023,48,06,,,,,
1494,57890,JE349953,08/24/2021 11:40:00 PM,014XX E 57TH ST,0810,THEFT,OVER $500,RESIDENCE,N,N,235,5,06,,,,,
1495,57895,JE257496,06/05/2021 11:30:00 PM,026XX W ARMITAGE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1421,1,14,,,,,
1496,58061,JE243358,05/22/2021 09:43:00 AM,018XX W Fullerton Ave,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1931,32,06,,,,,
1497,58216,JE251170,06/02/2021 11:53:00 AM,032XX W HURON ST,3751,INTERFERENCE WITH PUBLIC OFFICER,AIDING ARRESTEE ESCAPE,STREET,N,N,1121,27,24,,,,,
1498,58267,JF166340,11/01/2021 12:00:00 AM,051XX S HARPER AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,N,N,234,4,11,,,,,
1499,58288,JF107688,12/14/2021 12:00:00 AM,006XX W JACKSON BLVD,0810,THEFT,OVER $500,CONVENIENCE STORE,Y,N,121,42,06,,,,,
1500,58743,JF122725,01/20/2022 02:00:00 PM,004XX W WEBSTER AVE,0890,THEFT,FROM BUILDING,RESIDENCE - PORCH / HALLWAY,N,N,1812,43,06,,,,,
1501,59025,JE333653,08/10/2021 01:46:00 PM,006XX N ST CLAIR ST,0890,THEFT,FROM BUILDING,HOSPITAL BUILDING / GROUNDS,N,N,1834,42,06,,,,,
1502,59053,JE266065,06/14/2021 05:00:00 PM,015XX N HONORE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1424,2,14,,,,,
1503,59070,JE291925,07/02/2021 10:45:00 AM,041XX S Drexel Blvd,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER (SPECIFY),N,N,214,4,11,,,,,
1504,59237,JE208510,04/22/2021 05:45:00 PM,026XX W LAWRENCE AVE,0810,THEFT,OVER $500,APARTMENT,N,N,1911,40,06,,,,,
1505,59262,JF123270,01/20/2022 06:55:00 PM,031XX N KENMORE AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,N,N,1933,44,06,,,,,
1506,59318,JE178330,03/22/2021 11:30:00 AM,079XX S BISHOP ST,0890,THEFT,FROM BUILDING,RESIDENCE - PORCH / HALLWAY,N,N,612,21,06,,,,,
1507,59507,JE178249,03/22/2021 11:30:00 AM,012XX W WAVELAND AVE,0820,THEFT,$500 AND UNDER,SIDEWALK,N,N,1923,44,06,,,,,
1508,59558,JF166130,02/12/2022 12:00:00 AM,022XX N ELSTON AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,1432,32,11,,,,,
1509,59608,JE396261,10/03/2021 07:15:00 AM,014XX S MUSEUM CAMPUS DR,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,SPORTS ARENA / STADIUM,Y,N,132,4,18,,,,,
1510,59956,JE208733,04/22/2021 11:45:00 PM,016XX W Blackhawk St,0810,THEFT,OVER $500,RESIDENCE - PORCH / HALLWAY,N,N,1433,2,06,,,,,
1511,60028,JF166133,02/25/2022 09:00:00 PM,029XX W Palmer St,0890,THEFT,FROM BUILDING,RESIDENCE - PORCH / HALLWAY,N,N,1414,1,06,,,,,
1512,60228,JF124762,12/12/2021 12:00:00 AM,063XX N AVERS AVE,1120,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,N,N,1711,39,10,,,,,
1513,60293,JE177577,03/22/2021 11:00:00 PM,074XX S EVANS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,APARTMENT,N,N,323,6,14,,,,,
1514,60327,JE229906,04/16/2021 02:53:00 PM,034XX N Southport Ave,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1924,44,06,,,,,
1515,60382,JE193342,04/08/2021 11:05:00 AM,006XX W Schubert Ave,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,N,N,1935,43,11,,,,,
1516,60440,JF166134,12/27/2021 12:00:00 AM,015XX S KOSTNER AVE,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,OTHER (SPECIFY),N,N,1012,24,11,,,,,
1517,60535,JE229558,04/07/2021 07:00:00 PM,055XX S HYDE PARK BLVD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,235,5,11,,,,,
1518,60558,JE229691,04/23/2021 12:45:00 PM,020XX W CERMAK RD,0820,THEFT,$500 AND UNDER,CTA BUS,N,N,1234,25,06,,,,,
1519,61109,JF162635,03/01/2022 10:00:00 PM,034XX N KEDZIE AVE,0810,THEFT,OVER $500,STREET,N,N,1733,35,06,,,,,
1520,61165,JE177475,03/22/2021 12:00:00 AM,062XX N KENMORE AVE,0890,THEFT,FROM BUILDING,APARTMENT,N,N,2433,48,06,,,,,
1521,61188,JF166189,12/23/2021 12:00:00 AM,001XX S OAKLEY BLVD,0810,THEFT,OVER $500,STREET,N,N,1223,27,06,,,,,
1522,61233,JF166595,12/25/2021 07:00:00 PM,002XX E CHICAGO AVE,1752,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,HOSPITAL BUILDING / GROUNDS,N,N,1833,2,17,,,,,
1523,61239,JF161572,03/01/2022 08:40:00 PM,005XX W OAKDALE AVE,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,1934,44,06,,,,,
1524,61430,JE229546,04/20/2021 04:12:00 PM,017XX W FULLERTON AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1811,32,06,,,,,
1525,61525,JE229529,05/06/2021 04:07:00 PM,017XX W FULLERTON AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1811,32,06,,,,,
1526,61634,JE335834,08/10/2021 09:05:00 AM,101XX S HOYNE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,2213,19,14,,,,,
1527,62098,JF124753,11/15/2021 11:00:00 PM,042XX S OAKENWALD AVE,0810,THEFT,OVER $500,APARTMENT,N,N,214,4,06,,,,,
1528,62235,JE243268,05/23/2021 06:33:00 AM,016XX N CLEVELAND AVE,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,1813,43,06,,,,,
1529,62346,JE198925,04/07/2021 02:30:00 PM,025XX W 68TH ST,0810,THEFT,OVER $500,STREET,N,N,832,17,06,,,,,
1530,62352,JE193357,04/08/2021 11:30:00 AM,0000X E ROOSEVELT RD,0860,THEFT,RETAIL THEFT,DRUG STORE,N,N,123,4,06,,,,,
1531,62694,JE208736,04/23/2021 03:35:00 PM,001XX N STATE ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,111,42,06,,,,,
1532,62748,JF160332,03/01/2022 08:55:00 PM,0000X E CONGRESS PKWY,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,123,4,15,,,,,
1533,62767,JF165894,12/01/2021 12:00:00 AM,093XX S LAFAYETTE AVE,1120,DECEPTIVE PRACTICE,FORGERY,BANK,N,N,634,21,10,,,,,
1534,62777,JE423054,10/20/2021 04:10:00 PM,019XX N ORCHARD ST,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,N,N,1813,43,06,,,,,
1535,62924,JF166000,10/22/2021 12:01:00 AM,007XX N LA SALLE DR,1110,DECEPTIVE PRACTICE,BOGUS CHECK,COMMERCIAL / BUSINESS OFFICE,N,N,1832,2,11,,,,,
1536,62989,JF124773,04/06/2021 10:00:00 AM,002XX E ILLINOIS ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,COMMERCIAL / BUSINESS OFFICE,N,N,1834,42,11,,,,,
1537,63125,JE210371,04/23/2021 07:25:00 PM,003XX N Peoria,0820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1214,27,06,,,,,
1538,63200,JE213571,04/19/2021 03:24:00 PM,007XX E 38TH PL,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,212,4,06,,,,,
1539,63322,JE325374,07/02/2021 03:00:00 PM,025XX W IOWA ST,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE,N,N,1211,26,14,,,,,
1540,63351,JE384207,09/21/2021 11:00:00 PM,005XX W Briar Pl,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,GAS STATION,N,N,1934,44,11,,,,,
1541,63731,JE177486,03/23/2021 02:20:00 PM,008XX W Madison St,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,N,N,1232,27,11,,,,,
1542,63820,JE182032,03/26/2021 02:30:00 PM,004XX E RANDOLPH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,114,42,14,,,,,
1543,64000,JF165821,12/11/2021 12:00:00 AM,032XX W 61ST ST,1206,DECEPTIVE PRACTICE,"THEFT BY LESSEE, MOTOR VEHICLE",PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,823,23,11,,,,,
1544,64001,JF165959,02/25/2022 09:00:00 PM,038XX N PINE GROVE AVE,0810,THEFT,OVER $500,STREET,N,N,1925,46,06,,,,,
1545,64021,JF166291,05/01/2021 09:00:00 AM,073XX S COLES AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,N,N,334,7,11,,,,,
1546,64115,JF124687,12/04/2021 12:57:00 PM,037XX N RICHMOND ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,Y,1733,33,08A,,,,,
1547,64515,JE452345,11/12/2021 03:05:00 PM,060XX S HARPER AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,N,N,314,5,11,,,,,
1548,64660,JF166109,02/25/2022 12:10:00 PM,069XX S CORNELL AVE,0810,THEFT,OVER $500,RESIDENCE,N,N,332,5,06,,,,,
1549,64665,JF166415,01/29/2022 11:40:00 PM,007XX W LAKE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,OTHER (SPECIFY),N,N,1214,27,14,,,,,
1550,64717,JE177735,03/23/2021 12:00:00 PM,017XX W Lawrence Ave,0890,THEFT,FROM BUILDING,RESIDENCE - PORCH / HALLWAY,N,N,1912,47,06,,,,,
1551,64786,JE481488,12/16/2021 12:00:00 AM,049XX S DREXEL BLVD,1754,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,APARTMENT,N,Y,222,4,02,,,,,
1552,64913,JF166073,02/16/2022 01:00:00 AM,054XX S SHORE DR,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER (SPECIFY),N,N,234,5,11,,,,,
1553,65413,JF160824,03/02/2022 07:20:00 AM,025XX N ELSTON AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,1432,1,06,,,,,
1554,65542,JE215166,04/16/2021 10:47:00 AM,0000X N STATE ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,112,42,06,,,,,
1555,65679,JE179998,03/24/2021 01:45:00 PM,022XX E 70TH PL,0890,THEFT,FROM BUILDING,RESIDENCE - YARD (FRONT / BACK),N,N,331,5,06,,,,,
1556,65889,JE339136,08/07/2021 08:55:00 AM,026XX N HALSTED ST,0810,THEFT,OVER $500,RESIDENCE - PORCH / HALLWAY,N,N,1935,43,06,,,,,
1557,66355,JF124739,01/19/2022 05:00:00 AM,077XX S Eberhart Ave,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,N,N,624,6,06,,,,,
1558,66405,JE209428,04/24/2021 06:00:00 PM,033XX N AVERS AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1732,30,14,,,,,
1559,66736,JF167161,07/22/2021 09:00:00 AM,001XX N LARAMIE AVE,1120,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,N,N,1523,28,10,,,,,
1560,66784,JF166906,02/23/2022 12:30:00 PM,024XX W BRYN MAWR AVE,0820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,N,N,2011,40,06,,,,,
1561,66884,JF166789,03/01/2022 01:00:00 PM,002XX E HURON ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,HOSPITAL BUILDING / GROUNDS,N,N,1834,42,11,,,,,
1562,66961,JE215167,04/19/2021 03:19:00 PM,0000X N STATE ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,112,42,06,,,,,
1563,67437,JE243357,05/24/2021 11:23:00 AM,018XX W FULLERTON AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1931,32,06,,,,,
1564,67759,JE182054,03/24/2021 07:10:00 PM,017XX W JARVIS AVE,0890,THEFT,FROM BUILDING,RESIDENCE - PORCH / HALLWAY,N,N,2423,49,06,,,,,
1565,67778,JF124483,11/28/2021 12:00:00 AM,043XX S ST LAWRENCE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,221,4,11,,,,,
1566,67830,JE184352,03/23/2021 06:00:00 PM,016XX W LE MOYNE ST,0890,THEFT,FROM BUILDING,APARTMENT,N,N,1433,2,06,,,,,
1567,67869,JF119950,01/20/2022 04:00:00 PM,0000X E CONGRESS PKWY,0820,THEFT,$500 AND UNDER,RESTAURANT,Y,N,113,4,06,,,,,
1568,67873,JF151479,10/08/2021 02:00:00 AM,009XX N ASHLAND AVE,1562,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,RESIDENCE,N,Y,1213,1,17,,,,,
1569,68198,JE197029,04/09/2021 04:00:00 PM,054XX N KENMORE AVE,0810,THEFT,OVER $500,STREET,N,N,2023,48,06,,,,,
1570,68516,JE215858,04/20/2021 05:19:00 PM,0000X N STATE ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,112,42,06,,,,,
1571,68622,JE210779,04/25/2021 06:15:00 PM,053XX S DORCHESTER AVE,0890,THEFT,FROM BUILDING,RESIDENCE - GARAGE,N,N,234,4,06,,,,,
1572,69114,JE211831,04/25/2021 10:27:00 AM,004XX E 33RD ST,0890,THEFT,FROM BUILDING,RESIDENCE - PORCH / HALLWAY,N,N,211,4,06,,,,,
1573,69193,JE215859,04/22/2021 11:08:00 AM,0000X N STATE ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,112,42,06,,,,,
1574,69369,JE225810,05/10/2021 12:00:00 AM,017XX W GREGORY ST,0810,THEFT,OVER $500,RESIDENCE - YARD (FRONT / BACK),N,N,2012,40,06,,,,,
1575,69582,JE243603,05/24/2021 03:09:00 AM,016XX W BELMONT AVE,0890,THEFT,FROM BUILDING,RESIDENCE - GARAGE,N,N,1922,47,06,,,,,
1576,69797,JE241031,05/24/2021 11:25:00 AM,0000X E ROOSEVELT RD,0860,THEFT,RETAIL THEFT,DRUG STORE,N,N,123,4,06,,,,,
1577,69847,JE333656,08/10/2021 09:00:00 PM,054XX N CUMBERLAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1614,41,14,,,,,
1578,69990,JE229913,05/10/2021 08:38:00 PM,016XX W DIVISION ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,1424,1,06,,,,,
1579,70195,JE184967,03/20/2021 02:30:00 PM,035XX S RHODES AVE,0890,THEFT,FROM BUILDING,APARTMENT,N,N,212,4,06,,,,,
1580,70300,JE233942,05/17/2021 08:00:00 PM,017XX N ROCKWELL ST,0810,THEFT,OVER $500,RESIDENCE,N,N,1421,1,06,,,,,
1581,70348,JE259898,06/07/2021 04:15:00 PM,005XX N LAKE SHORE DR,0820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1834,42,06,,,,,
1582,70406,JE257881,06/07/2021 09:58:00 PM,012XX W Monroe St,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,OTHER (SPECIFY),N,N,1224,25,26,,,,,
1583,70922,JE258003,06/07/2021 07:00:00 PM,053XX N CALIFORNIA AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,2011,40,06,,,,,
1584,71138,JE325639,07/29/2021 09:20:00 PM,003XX E RANDOLPH ST,0810,THEFT,OVER $500,PARK PROPERTY,N,N,114,42,06,,,,,
1585,71233,JE217403,04/25/2021 04:25:00 PM,063XX N LAKEWOOD AVE,0890,THEFT,FROM BUILDING,RESIDENCE - GARAGE,N,N,2433,48,06,,,,,
1586,71327,JE325413,05/26/2021 11:08:00 AM,009XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1833,42,06,,,,,
1587,71490,JE195421,04/10/2021 09:00:00 AM,058XX S Wabash Ave,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,232,20,14,,,,,
1588,71671,JE319438,07/29/2021 07:52:00 PM,003XX E RANDOLPH ST,0870,THEFT,POCKET-PICKING,PARK PROPERTY,N,N,114,42,06,,,,,
1589,71886,JE211530,04/26/2021 07:05:00 AM,072XX S ASHLAND AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,OTHER (SPECIFY),N,N,734,17,11,,,,,
1590,72232,JE227535,05/11/2021 09:35:00 AM,013XX W FOSTER AVE,0820,THEFT,$500 AND UNDER,DRIVEWAY - RESIDENTIAL,N,N,2033,47,06,,,,,
1591,72286,JE288795,07/03/2021 05:45:00 PM,014XX S MUSEUM CAMPUS DR,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,PARK PROPERTY,Y,N,132,4,26,,,,,
1592,72418,JF124401,01/20/2022 02:40:00 PM,011XX S MICHIGAN AVE,0890,THEFT,FROM BUILDING,RESIDENCE,N,N,123,4,06,,,,,
1593,72776,JE187202,04/01/2021 04:30:00 PM,011XX W LAWRENCE AVE,0820,THEFT,$500 AND UNDER,CTA PLATFORM,N,N,1914,46,06,,,,,
1594,72998,JE243192,05/25/2021 11:50:00 AM,006XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1834,42,06,,,,,
1595,73810,JE197023,04/10/2021 02:00:00 PM,010XX W ADDISON ST,0810,THEFT,OVER $500,BOWLING ALLEY,N,N,1924,44,06,,,,,
1596,74103,JE198065,04/11/2021 07:35:00 PM,011XX W FARWELL AVE,0890,THEFT,FROM BUILDING,RESIDENCE,N,N,2431,49,06,,,,,
1597,74178,JF118743,10/14/2021 12:00:00 AM,080XX S ELLIS AVE,0479,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,N,N,631,8,04B,,,,,
1598,74379,JF161774,03/02/2022 03:00:00 AM,0000X N LA SALLE ST,0810,THEFT,OVER $500,STREET,N,N,122,42,06,,,,,
1599,74413,JE212748,04/27/2021 12:00:00 AM,048XX S DREXEL BLVD,0820,THEFT,$500 AND UNDER,STREET,N,N,222,4,06,,,,,
1600,74485,JE233120,05/04/2021 06:33:00 PM,004XX N DEARBORN ST,0820,THEFT,$500 AND UNDER,HOTEL / MOTEL,N,N,1831,42,06,,,,,
1601,74608,JE451150,11/15/2021 08:25:00 PM,085XX S DREXEL AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,632,8,11,,,,,
1602,74646,JE277596,06/17/2021 11:52:00 AM,075XX N CLARK ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,2422,49,06,,,,,
1603,74694,JE258687,06/08/2021 04:40:00 PM,057XX W HURON ST,0820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,N,N,1511,29,06,,,,,
1604,75609,JE325547,07/20/2021 12:27:00 PM,049XX S KEDZIE AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,821,14,06,,,,,
1605,75623,JE243594,05/25/2021 06:39:00 AM,001XX N WACKER DR,2820,OTHER OFFENSE,TELEPHONE THREAT,OTHER (SPECIFY),N,N,122,42,08A,,,,,
1606,75880,JE243242,05/25/2021 04:00:00 AM,050XX N BERNARD ST,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER (SPECIFY),N,N,1712,39,14,,,,,
1607,76045,JE356310,06/28/2021 01:05:00 AM,028XX N LAKE SHORE DR,0890,THEFT,FROM BUILDING,RESIDENCE,N,N,1934,44,06,,,,,
1608,76117,JE366509,09/06/2021 01:59:00 AM,010XX W HOLLYWOOD AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER (SPECIFY),N,N,2022,48,11,,,,,
1609,76162,JE277628,05/19/2021 12:51:00 PM,077XX W CATALPA AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,VEHICLE NON-COMMERCIAL,N,N,1613,41,11,,,,,
1610,76195,JE319650,07/29/2021 09:30:00 PM,003XX E RANDOLPH ST,0870,THEFT,POCKET-PICKING,PARK PROPERTY,N,N,114,42,06,,,,,
1611,76204,JE325561,07/17/2021 11:39:00 AM,049XX S KEDZIE AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,821,14,06,,,,,
